epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27026.3,1.20199,1.97374,1.16428,0.43116,0.60663,0.46771,0.38579,0.63374,1.20605,0.91051,0.000330749,0.000330749,0.000330749
2,28065,1.16945,1.0813,1.13067,0.51463,0.65983,0.55657,0.4623,0.67521,1.06311,0.92121,0.000650934,0.000650934,0.000650934
3,29128.8,1.16726,1.01076,1.12352,0.51475,0.7052,0.58535,0.48101,0.66929,0.86344,0.9105,0.000957918,0.000957918,0.000957918
4,30192.1,1.15027,0.95265,1.11967,0.47453,0.76122,0.57503,0.48056,0.62556,0.8885,0.91996,0.0009406,0.0009406,0.0009406
5,37279.9,1.11731,0.88085,1.10843,0.55347,0.65335,0.62275,0.52667,0.63472,0.77272,0.91168,0.0009208,0.0009208,0.0009208
6,37928.9,1.12073,0.86065,1.10689,0.57875,0.68082,0.64906,0.56085,0.56268,0.69431,0.90364,0.000901,0.000901,0.000901
7,38634.5,1.1079,0.81944,1.09827,0.5538,0.70852,0.61678,0.52545,0.57599,0.73714,0.90288,0.0008812,0.0008812,0.0008812
8,39318.5,1.10296,0.79696,1.09672,0.60792,0.68409,0.67836,0.5843,0.54534,0.66246,0.90499,0.0008614,0.0008614,0.0008614
9,39972.1,1.07746,0.78941,1.0903,0.69957,0.68215,0.7178,0.6097,0.58446,0.68343,0.90673,0.0008416,0.0008416,0.0008416
10,40614.7,1.06335,0.76881,1.07886,0.63629,0.7388,0.70236,0.60454,0.55466,0.63383,0.89447,0.0008218,0.0008218,0.0008218
11,41226,1.01588,0.73195,1.06143,0.6379,0.67057,0.68163,0.58874,0.59505,0.64615,0.89621,0.000802,0.000802,0.000802
12,41832.3,0.99594,0.72009,1.05176,0.63735,0.7078,0.67206,0.57973,0.56971,0.61228,0.88962,0.0007822,0.0007822,0.0007822
13,42438.5,0.9689,0.71143,1.04147,0.59419,0.73726,0.66742,0.57354,0.60869,0.65493,0.89656,0.0007624,0.0007624,0.0007624
14,43052,0.9523,0.69803,1.03396,0.64766,0.69985,0.71323,0.61103,0.55157,0.69122,0.88825,0.0007426,0.0007426,0.0007426
15,43658.7,0.94526,0.68509,1.03136,0.62511,0.76164,0.69016,0.59784,0.56831,0.61737,0.8896,0.0007228,0.0007228,0.0007228
16,44274.3,0.93643,0.67715,1.02463,0.64434,0.79627,0.76354,0.65963,0.56016,0.56104,0.88388,0.000703,0.000703,0.000703
17,44882.2,0.92279,0.6546,1.01979,0.66027,0.75281,0.71044,0.598,0.67318,0.61498,0.90586,0.0006832,0.0006832,0.0006832
18,45486.8,0.9037,0.65281,1.0133,0.62838,0.7828,0.73234,0.64683,0.51183,0.56526,0.87295,0.0006634,0.0006634,0.0006634
19,46303.3,0.90271,0.63874,1.0181,0.68168,0.73698,0.73963,0.6415,0.54547,0.57784,0.87983,0.0006436,0.0006436,0.0006436
20,47369.6,0.89197,0.63491,1.01285,0.69146,0.75312,0.72831,0.63377,0.56248,0.57408,0.8818,0.0006238,0.0006238,0.0006238
21,48445.2,0.88421,0.62486,1.01095,0.64327,0.69104,0.66416,0.57368,0.53571,0.67665,0.87848,0.000604,0.000604,0.000604
22,49524.5,0.88833,0.6255,1.01111,0.6903,0.71118,0.73428,0.65264,0.50322,0.55363,0.86805,0.0005842,0.0005842,0.0005842
23,50597.5,0.85433,0.61885,0.99092,0.68205,0.74476,0.74269,0.66021,0.50306,0.54394,0.86717,0.0005644,0.0005644,0.0005644
24,84740.8,0.85348,0.59609,0.99477,0.67869,0.79683,0.76822,0.68314,0.49409,0.53466,0.8666,0.0005446,0.0005446,0.0005446
25,85348.2,0.8469,0.58372,0.99438,0.70155,0.75443,0.75319,0.66257,0.52533,0.53798,0.87436,0.0005248,0.0005248,0.0005248
26,85944.2,0.85213,0.59369,0.99353,0.70746,0.79132,0.77629,0.6883,0.49924,0.52962,0.86535,0.000505,0.000505,0.000505
27,86574.4,0.84918,0.57415,0.99327,0.72215,0.70977,0.74189,0.66124,0.48192,0.54253,0.86584,0.0004852,0.0004852,0.0004852
28,87182.8,0.82696,0.56245,0.98339,0.59772,0.83347,0.74511,0.66492,0.47647,0.5367,0.86189,0.0004654,0.0004654,0.0004654
29,87810.1,0.84116,0.5667,0.99118,0.73474,0.74398,0.7708,0.6788,0.49245,0.5285,0.86506,0.0004456,0.0004456,0.0004456
30,88440.6,0.81224,0.56671,0.9841,0.70325,0.78068,0.77258,0.68389,0.48275,0.52045,0.86232,0.0004258,0.0004258,0.0004258
31,89062.3,0.81847,0.54978,0.97961,0.72269,0.75002,0.75324,0.66324,0.50684,0.53668,0.86709,0.000406,0.000406,0.000406
32,89697,0.80201,0.53832,0.97494,0.66264,0.76983,0.70998,0.62785,0.49402,0.55807,0.86447,0.0003862,0.0003862,0.0003862
33,90328.1,0.7938,0.5316,0.97287,0.73541,0.76729,0.7991,0.7085,0.49302,0.50616,0.86265,0.0003664,0.0003664,0.0003664
34,90974.3,0.79567,0.53378,0.97442,0.69574,0.77002,0.75168,0.67615,0.46693,0.52209,0.85819,0.0003466,0.0003466,0.0003466
35,91590.6,0.79882,0.53195,0.97708,0.73724,0.72086,0.75225,0.67176,0.48161,0.52216,0.85944,0.0003268,0.0003268,0.0003268
36,92649.1,0.75429,0.51303,0.95929,0.71975,0.76565,0.7753,0.69522,0.48485,0.50922,0.86086,0.000307,0.000307,0.000307
37,93428.5,0.78189,0.51813,0.97119,0.6664,0.78751,0.74759,0.67387,0.46371,0.5226,0.85634,0.0002872,0.0002872,0.0002872
38,94188.5,0.77879,0.50693,0.96692,0.68839,0.76796,0.73957,0.66598,0.45859,0.51015,0.8563,0.0002674,0.0002674,0.0002674
39,95012.5,0.77059,0.50371,0.96443,0.73177,0.71666,0.7633,0.68471,0.47003,0.52073,0.85587,0.0002476,0.0002476,0.0002476
40,95886,0.76798,0.49484,0.96154,0.69562,0.73673,0.75444,0.67958,0.45373,0.52209,0.85336,0.0002278,0.0002278,0.0002278
41,96456.3,0.75551,0.46203,0.96708,0.67599,0.71414,0.71884,0.6384,0.47248,0.51948,0.86235,0.000208,0.000208,0.000208
42,97066.7,0.74994,0.4484,0.96548,0.71885,0.75358,0.7584,0.68501,0.45134,0.50447,0.85378,0.0001882,0.0001882,0.0001882
43,97628.9,0.75032,0.44525,0.96901,0.71727,0.72842,0.75866,0.67885,0.4587,0.50376,0.8558,0.0001684,0.0001684,0.0001684
